title,identifier,fileIdentifier
collection,10.34847/nkl.5c37cazx,
Z1J431_0001.txt,10.34847/nkl.4b9761z4,036c2fe53e58cd48ff9f44d50d703f375470e68f
Z1J431_0002.txt,10.34847/nkl.b8ba767y,8ac4867ba5d57e56c8645a3b208a02574084a7f9
Z1J431_0003.txt,10.34847/nkl.acdc2ydf,dba3d4163897d52c5d51755ecc3dfe3988cb3745
